transaction_id,customer_id,id_tiempo,id_geografia,id_pago,id_envio,quantity,total_amount,shipping_cost,monto_total_con_envio
TXN_126592,CUST_18361,50,,4,1,2,591.85,10.08,601.9300000000001
TXN_365195,CUST_41740,51,,3,3,9,95.46,20.89,116.35
TXN_758189,CUST_90345,52,,2,1,2,568.4,17.1,585.5
TXN_315657,CUST_57839,53,,3,2,3,377.13,5.07,382.2
TXN_775106,CUST_93308,54,,1,3,1,275.67,13.4,289.07
TXN_932364,CUST_40899,55,,2,1,1,138.17,23.67,161.83999999999997
TXN_417080,CUST_38035,56,,1,3,1,212.89,24.17,237.06
TXN_280919,CUST_90589,57,,4,3,3,447.67,13.61,461.28000000000003
TXN_845421,CUST_85975,58,,2,1,2,421.01,11.18,432.19
TXN_349485,CUST_34648,59,,2,1,1,36.94,19.47,56.41
TXN_599736,CUST_32704,60,,4,1,1,68.53,8.38,76.91
TXN_898822,CUST_66822,61,,4,1,3,557.06,10.51,567.5699999999999
TXN_919391,CUST_38506,62,,4,3,1,265.66,12.83,278.49
TXN_239354,CUST_82247,63,,3,3,10,536.28,19.46,555.74
TXN_757276,CUST_91966,64,,3,3,10,504.62,6.78,511.4
TXN_802218,CUST_56091,65,,1,2,1,276.79,19.74,296.53000000000003
TXN_974919,CUST_99365,66,,3,3,4,979.86,22.87,1002.73
TXN_896278,CUST_54467,67,,2,3,19,1441.54,6.33,1447.87
TXN_849205,CUST_30185,68,,4,3,1,210.62,22.84,233.46
TXN_990422,CUST_99441,69,,1,1,3,642.49,24.89,667.38
TXN_794415,CUST_87750,70,,2,2,4,208.29,10.32,218.60999999999999
TXN_750604,CUST_75491,71,,3,1,1,213.94,8.72,222.66
TXN_254140,CUST_74646,72,,1,2,3,391.07,21.94,413.01
TXN_584551,CUST_43756,73,,1,2,2,293.48,6.53,300.01
TXN_808079,CUST_72893,74,,3,3,3,69.81,21.45,91.26
TXN_245397,CUST_14214,75,,4,1,4,115.81,10.23,126.04
TXN_189437,CUST_15532,76,,3,3,3,712.58,21.53,734.11
TXN_974840,CUST_73897,77,,4,1,2,559.56,14.53,574.0899999999999
TXN_130225,CUST_67390,78,,1,2,1,195.02,24.39,219.41000000000003
TXN_434588,CUST_20155,79,,1,2,3,507.85,13.33,521.1800000000001
TXN_100888,CUST_96707,80,,4,1,2,367.63,16.39,384.02
TXN_828632,CUST_99091,81,,2,4,17,880.97,8.76,889.73
TXN_853118,CUST_83944,82,,2,3,3,673.11,16.7,689.8100000000001
TXN_182551,CUST_23044,83,,2,1,4,560.27,12.19,572.46
TXN_483391,CUST_43915,84,,1,2,1,113.94,16.43,130.37
TXN_702776,CUST_82411,85,,6,4,10,412.38,5.89,418.27
TXN_322793,CUST_51498,86,,2,3,2,70.57,6.3,76.86999999999999
TXN_203618,CUST_31942,87,,2,3,3,700.6,8.59,709.19
TXN_142593,CUST_80857,88,,1,2,4,1004.71,23.9,1028.6100000000001
TXN_565164,CUST_25050,89,,3,3,2,581.85,12.35,594.2
TXN_708823,CUST_63162,90,,4,3,2,374.72,21.11,395.83000000000004
TXN_935533,CUST_87044,91,,6,3,1,68.27,22.31,90.58
TXN_111058,CUST_92847,92,,4,1,4,199.37,22.36,221.73000000000002
TXN_207576,CUST_83244,93,,6,3,3,238.64,10.81,249.45
TXN_719472,CUST_47554,94,,5,4,11,369.77,18.01,387.78
TXN_566672,CUST_99842,95,,1,3,2,401.65,19.95,421.59999999999997
TXN_209860,CUST_72641,96,,2,3,1,105.32,9.16,114.47999999999999
TXN_482765,CUST_77467,97,,3,2,4,251.17,5.63,256.8
TXN_283167,CUST_64486,98,,1,3,4,313.54,23.3,336.84000000000003
TXN_633612,CUST_22815,99,,6,4,14,1275.11,21.82,1296.9299999999998
TXN_219925,CUST_67484,100,,3,1,2,211.78,21.39,233.17000000000002
TXN_331240,CUST_32756,101,,3,1,2,246.54,19.09,265.63
TXN_216865,CUST_51614,102,,2,2,4,750.68,20.26,770.9399999999999
TXN_672713,CUST_22140,103,,2,3,1,232.78,18.79,251.57
TXN_988768,CUST_71020,104,,3,3,10,133.79,13.46,147.25
TXN_621122,CUST_63300,105,,1,1,1,244.89,16.21,261.09999999999997
TXN_340982,CUST_70831,106,,4,3,3,271.69,15.96,287.65
TXN_885746,CUST_10617,107,,3,3,4,653.51,15.34,668.85
TXN_193705,CUST_63281,108,,2,2,3,81.22,16.95,98.17
TXN_501045,CUST_23231,109,,5,3,12,118.07,5.48,123.55
TXN_482134,CUST_68656,110,,3,3,1,173.32,6.64,179.95999999999998
TXN_378492,CUST_18974,111,,5,3,1,6.28,16.22,22.5
TXN_877785,CUST_34830,112,,4,3,1,202.43,7.1,209.53
TXN_727669,CUST_86004,113,,3,3,4,710.0,12.74,722.74
TXN_601930,CUST_60428,114,,2,2,1,56.78,17.47,74.25
TXN_585711,CUST_99790,115,,4,3,3,467.14,13.35,480.49
TXN_370217,CUST_91410,116,,4,2,4,1003.08,12.15,1015.23
TXN_410134,CUST_89547,117,,2,3,2,95.84,19.12,114.96000000000001
TXN_268870,CUST_68117,118,,3,2,2,93.95,19.04,112.99000000000001
TXN_937132,CUST_35579,119,,1,1,3,573.07,19.09,592.1600000000001
TXN_376029,CUST_31419,120,,6,4,2,94.9,21.56,116.46000000000001
TXN_117320,CUST_59388,121,,3,2,1,67.92,9.35,77.27
TXN_914757,CUST_73525,122,,2,3,3,653.91,6.71,660.62
TXN_801726,CUST_90977,123,,2,2,3,308.91,8.19,317.1
TXN_412446,CUST_78587,124,,1,3,3,644.91,6.47,651.38
TXN_154797,CUST_15360,125,,4,1,2,180.34,23.13,203.47
TXN_311010,CUST_37259,126,,2,3,2,532.44,23.26,555.7
TXN_727925,CUST_18692,127,,2,3,4,790.9,7.43,798.3299999999999
TXN_462987,CUST_18413,128,,3,3,1,138.63,14.51,153.14
TXN_681456,CUST_42647,129,,6,4,12,338.78,17.24,356.02
TXN_290220,CUST_43655,130,,4,1,2,333.26,22.24,355.5
TXN_537572,CUST_72468,131,,3,2,3,192.44,6.68,199.12
TXN_403156,CUST_78610,132,,6,4,11,229.61,5.96,235.57000000000002
TXN_495522,CUST_44067,133,,2,3,4,761.12,10.2,771.32
TXN_199128,CUST_81321,134,,2,1,4,1010.94,9.87,1020.8100000000001
TXN_277379,CUST_63139,135,,4,2,2,168.77,24.51,193.28
TXN_165259,CUST_19808,136,,4,1,3,170.58,12.46,183.04000000000002
TXN_640545,CUST_10762,137,,2,1,3,368.15,13.45,381.59999999999997
TXN_178599,CUST_61178,138,,3,4,7,482.0,11.55,493.55
TXN_275227,CUST_34287,139,,6,4,14,1304.54,22.71,1327.25
TXN_945008,CUST_45362,140,,4,3,2,453.2,20.83,474.03
TXN_306386,CUST_33147,141,,2,4,14,413.71,19.82,433.53
TXN_113054,CUST_98121,142,,2,4,6,322.33,15.51,337.84
TXN_701794,CUST_68056,143,,2,1,1,27.09,8.95,36.04
TXN_637725,CUST_73777,144,,4,2,4,811.9,16.22,828.12
TXN_214667,CUST_17324,145,,1,2,2,437.3,17.96,455.26
TXN_877239,CUST_71277,146,,3,3,4,207.69,12.88,220.57
TXN_986587,CUST_32293,147,,1,3,1,49.66,18.64,68.3
TXN_215228,CUST_96252,148,,6,4,4,43.78,19.94,63.72
TXN_322011,CUST_49370,149,,1,1,2,154.95,24.6,179.54999999999998
TXN_958796,CUST_57692,150,,2,1,2,463.6,14.57,478.17
TXN_214715,CUST_12947,151,,4,1,2,224.04,13.24,237.28
TXN_295271,CUST_65048,152,,3,3,2,415.48,15.59,431.07
TXN_362049,CUST_92191,153,,3,3,2,535.47,7.42,542.89
TXN_381420,CUST_11967,154,,3,2,4,527.97,17.12,545.09
TXN_482614,CUST_31065,155,,2,4,11,693.92,18.03,711.9499999999999
TXN_138140,CUST_89201,156,,2,3,6,589.37,17.71,607.08
TXN_905809,CUST_72391,157,,5,4,13,938.3,9.91,948.2099999999999
TXN_127606,CUST_67003,158,,1,1,4,538.76,10.83,549.59
TXN_629773,CUST_69031,159,,4,3,2,97.05,5.88,102.92999999999999
TXN_921396,CUST_60513,160,,3,1,3,82.3,7.06,89.36
TXN_262813,CUST_40751,161,,2,3,17,942.85,16.08,958.9300000000001
TXN_254329,CUST_20973,162,,1,3,4,1068.67,11.39,1080.0600000000002
TXN_201487,CUST_50680,163,,1,3,2,57.06,10.24,67.3
TXN_272314,CUST_41084,164,,3,3,1,252.09,6.23,258.32
TXN_890371,CUST_51367,165,,6,3,19,1084.41,6.26,1090.67
TXN_678702,CUST_43958,166,,4,3,4,892.32,18.6,910.9200000000001
TXN_440203,CUST_30539,167,,6,4,8,105.97,9.95,115.92
TXN_534923,CUST_13179,168,,4,3,1,114.38,15.53,129.91
TXN_915166,CUST_79861,169,,1,2,3,349.56,8.34,357.9
TXN_753671,CUST_66713,170,,3,3,1,78.64,15.32,93.96000000000001
TXN_418263,CUST_81118,171,,1,3,4,448.38,22.78,471.15999999999997
TXN_694934,CUST_97939,172,,2,3,4,118.19,24.59,142.78
TXN_794195,CUST_78422,173,,6,4,8,614.2,22.91,637.11
TXN_885886,CUST_27050,174,,2,3,2,230.41,7.52,237.93
TXN_437476,CUST_40757,175,,5,3,12,239.85,24.92,264.77
TXN_771423,CUST_99175,176,,3,3,2,153.91,11.35,165.26
TXN_839142,CUST_82555,177,,4,2,1,261.05,21.56,282.61
TXN_464143,CUST_99538,178,,4,3,2,170.63,22.95,193.57999999999998
TXN_552334,CUST_41871,179,,2,1,4,1123.57,7.61,1131.1799999999998
TXN_265763,CUST_95343,180,,3,3,14,976.24,22.12,998.36
TXN_491678,CUST_16156,181,,6,3,15,565.31,18.27,583.5799999999999
TXN_585379,CUST_56854,182,,2,1,3,264.21,21.5,285.71
TXN_441712,CUST_23354,183,,4,2,2,156.3,18.75,175.05
TXN_591478,CUST_99347,184,,1,2,3,760.0,22.28,782.28
TXN_200690,CUST_37622,185,,4,2,4,990.94,17.75,1008.69
TXN_164893,CUST_87582,186,,6,4,14,469.66,20.16,489.82000000000005
TXN_248463,CUST_76653,187,,1,1,3,609.99,14.01,624.0
TXN_273284,CUST_47282,188,,4,1,1,198.34,5.67,204.01
TXN_461478,CUST_53011,189,,1,3,4,650.88,24.16,675.04
TXN_963364,CUST_10685,190,,1,1,3,634.01,12.57,646.58
TXN_545175,CUST_33267,191,,4,1,3,188.7,6.89,195.58999999999997
TXN_215848,CUST_54334,192,,3,4,3,247.85,21.83,269.68
TXN_473635,CUST_21095,193,,4,1,1,196.05,15.08,211.13000000000002
TXN_885552,CUST_97432,194,,2,2,1,36.97,21.59,58.56
TXN_990421,CUST_95214,195,,2,3,1,93.86,15.44,109.3
TXN_330671,CUST_20400,196,,2,1,3,834.31,23.68,857.9899999999999
TXN_415120,CUST_43184,197,,6,4,4,128.58,17.62,146.20000000000002
TXN_682461,CUST_90761,198,,2,1,4,674.74,16.21,690.95
TXN_428569,CUST_50098,199,,4,2,1,108.86,11.86,120.72
TXN_479696,CUST_65737,200,,5,3,17,644.37,24.61,668.98
TXN_701589,CUST_47950,201,,3,3,2,162.61,20.94,183.55
TXN_989950,CUST_84134,202,,2,2,1,158.89,8.37,167.26
TXN_842809,CUST_15691,203,,4,2,2,254.61,17.66,272.27000000000004
TXN_515109,CUST_22934,204,,4,3,1,233.36,16.09,249.45000000000002
TXN_130500,CUST_59294,205,,4,1,1,247.09,19.44,266.53000000000003
TXN_199943,CUST_80444,206,,4,1,3,785.06,23.31,808.3699999999999
TXN_679896,CUST_47098,207,,6,4,19,1273.98,21.25,1295.23
TXN_541099,CUST_27504,208,,3,1,1,94.73,12.44,107.17
TXN_953041,CUST_32795,209,,3,3,4,310.39,21.28,331.66999999999996
TXN_950243,CUST_29019,210,,5,4,11,576.97,8.39,585.36
TXN_900739,CUST_34253,211,,2,1,2,378.5,6.71,385.21
TXN_663635,CUST_82033,212,,6,4,8,413.73,20.37,434.1
TXN_714483,CUST_31328,213,,4,1,1,296.55,21.56,318.11
TXN_660305,CUST_14479,214,,1,3,2,307.65,10.03,317.67999999999995
TXN_584639,CUST_92490,215,,4,1,4,508.52,21.42,529.9399999999999
TXN_255760,CUST_85275,216,,3,4,15,1231.43,12.92,1244.3500000000001
TXN_318478,CUST_75751,217,,6,3,14,671.68,5.77,677.4499999999999
TXN_540656,CUST_82437,218,,3,1,2,181.76,9.84,191.6
TXN_934388,CUST_16679,219,,1,1,4,255.46,8.58,264.04
TXN_116753,CUST_93972,220,,1,1,4,275.49,14.46,289.95
TXN_764749,CUST_18755,221,,4,2,2,241.07,6.82,247.89
TXN_140317,CUST_13184,222,,3,1,2,468.49,7.28,475.77
TXN_501387,CUST_46815,223,,6,3,11,285.93,14.8,300.73
TXN_690739,CUST_87331,224,,3,3,3,571.73,6.47,578.2
TXN_752378,CUST_94737,225,,2,3,4,195.52,21.65,217.17000000000002
TXN_177579,CUST_43835,226,,4,3,3,710.97,14.93,725.9
TXN_580724,CUST_68488,227,,2,3,14,1161.97,12.94,1174.91
TXN_907104,CUST_69835,228,,2,2,1,205.94,17.64,223.57999999999998
TXN_413321,CUST_89040,229,,1,2,2,199.89,18.43,218.32
TXN_595063,CUST_69987,230,,4,1,4,1193.28,22.09,1215.37
TXN_712949,CUST_30029,231,,1,1,1,221.99,6.0,227.99
TXN_375550,CUST_58414,232,,3,4,10,597.36,18.73,616.09
TXN_399401,CUST_64415,233,,3,3,2,139.61,17.7,157.31
TXN_182449,CUST_70339,234,,1,1,4,1026.21,18.87,1045.08
TXN_749352,CUST_39742,235,,5,4,13,727.38,21.52,748.9
TXN_376283,CUST_95519,236,,2,2,4,602.62,24.05,626.67
TXN_429423,CUST_37653,237,,3,2,1,107.66,15.34,123.0
TXN_295901,CUST_94950,238,,3,2,1,208.79,13.57,222.35999999999999
TXN_453274,CUST_13734,239,,2,3,8,355.61,5.59,361.2
TXN_331683,CUST_32844,240,,2,3,2,140.69,14.47,155.16
TXN_267657,CUST_92333,241,,2,3,4,218.86,12.03,230.89000000000001
TXN_878688,CUST_39000,242,,6,3,15,1085.21,17.26,1102.47
TXN_824203,CUST_96065,243,,4,2,2,238.01,13.79,251.79999999999998
TXN_291478,CUST_26469,244,,3,4,14,967.5,7.89,975.39
TXN_342024,CUST_41427,245,,6,4,19,1842.76,15.05,1857.81
TXN_877731,CUST_46764,246,,1,1,1,185.77,18.77,204.54000000000002
TXN_604209,CUST_39335,247,,3,1,2,593.15,16.65,609.8
TXN_819194,CUST_71090,248,,1,1,4,644.11,8.76,652.87
TXN_465253,CUST_96477,249,,6,4,14,1177.86,7.97,1185.83
TXN_992408,CUST_36606,250,,1,2,3,631.31,14.06,645.3699999999999
TXN_488353,CUST_21029,251,,1,2,3,121.06,13.67,134.73
TXN_537539,CUST_19153,252,,2,3,1,170.94,18.28,189.22
TXN_671035,CUST_46972,253,,1,2,4,1164.14,6.49,1170.63
TXN_910471,CUST_16791,254,,4,3,2,514.5,15.35,529.85
TXN_652661,CUST_69875,255,,3,2,3,597.04,5.41,602.4499999999999
TXN_250512,CUST_24354,256,,2,1,1,30.35,9.69,40.04
TXN_888628,CUST_67840,257,,2,3,2,347.78,9.08,356.85999999999996
TXN_646905,CUST_13601,258,,4,2,3,563.92,17.6,581.52
TXN_856399,CUST_62774,259,,3,3,4,463.14,12.32,475.46
TXN_234220,CUST_80157,260,,4,1,1,87.17,9.84,97.01
TXN_174235,CUST_96145,261,,1,1,3,724.17,10.37,734.54
TXN_404632,CUST_80145,262,,1,1,2,458.28,16.41,474.69
TXN_975778,CUST_32941,263,,2,4,19,327.44,14.28,341.71999999999997
TXN_624445,CUST_25255,264,,6,3,9,363.59,8.41,372.0
TXN_743888,CUST_60623,265,,1,3,2,160.34,16.77,177.11
TXN_786878,CUST_92265,266,,3,1,4,827.94,9.91,837.85
TXN_831082,CUST_67911,267,,2,3,2,196.35,17.68,214.03
TXN_947670,CUST_82419,268,,4,2,2,78.4,21.53,99.93
TXN_999483,CUST_58676,269,,1,1,4,1146.7,5.49,1152.19
TXN_655452,CUST_65009,270,,2,2,4,461.55,19.03,480.58000000000004
TXN_598962,CUST_56892,271,,3,2,1,50.26,10.69,60.949999999999996
TXN_465664,CUST_10720,272,,2,1,2,491.71,16.25,507.96
TXN_411368,CUST_58517,273,,3,1,1,109.52,10.06,119.58
TXN_281754,CUST_96385,274,,3,1,4,1186.22,21.48,1207.7
TXN_963752,CUST_77381,275,,2,3,4,1043.88,21.76,1065.64
TXN_918287,CUST_50924,276,,2,4,8,308.76,12.73,321.49
TXN_269178,CUST_91298,277,,4,3,1,217.63,20.97,238.6
TXN_469740,CUST_70739,278,,5,4,14,137.66,19.33,156.99
TXN_874536,CUST_76905,279,,2,1,1,298.87,19.34,318.21
TXN_204961,CUST_59556,280,,4,3,2,457.23,7.33,464.56
TXN_283985,CUST_68878,281,,5,3,16,696.4,9.97,706.37
TXN_110525,CUST_34903,282,,3,2,3,855.44,23.0,878.44
TXN_682912,CUST_76591,283,,2,2,3,868.91,7.5,876.41
TXN_769719,CUST_83243,284,,2,3,3,480.4,23.68,504.08
TXN_402712,CUST_73940,285,,1,2,1,225.57,12.04,237.60999999999999
TXN_605113,CUST_15949,286,,4,1,2,358.83,10.19,369.02
TXN_116024,CUST_53627,287,,5,4,11,940.6,20.57,961.1700000000001
TXN_528999,CUST_37511,288,,3,3,10,75.09,6.56,81.65
TXN_450353,CUST_58982,289,,2,2,4,475.6,21.7,497.3
TXN_907635,CUST_26220,290,,1,1,1,32.04,17.49,49.53
TXN_150552,CUST_14206,291,,2,2,4,559.77,6.62,566.39
TXN_974472,CUST_82616,292,,2,3,4,710.52,9.93,720.4499999999999
TXN_270679,CUST_60574,293,,1,3,1,201.46,19.39,220.85000000000002
TXN_648180,CUST_18439,294,,4,2,2,74.19,24.31,98.5
TXN_904363,CUST_40235,295,,1,1,1,128.21,6.21,134.42000000000002
TXN_381288,CUST_38876,296,,2,3,17,669.79,18.6,688.39
TXN_999353,CUST_70586,297,,3,4,13,88.89,8.66,97.55
TXN_444792,CUST_88128,298,,2,3,4,1115.61,6.46,1122.07
TXN_924385,CUST_54279,299,,1,3,1,227.56,5.0,232.56
TXN_339810,CUST_22561,300,,4,1,2,523.23,10.67,533.9
TXN_180052,CUST_81281,301,,3,3,1,100.55,20.54,121.09
TXN_381570,CUST_13256,302,,5,4,12,354.1,15.51,369.61
TXN_650214,CUST_75886,303,,3,3,2,378.69,10.79,389.48
TXN_925210,CUST_22712,304,,3,1,2,496.8,14.38,511.18
TXN_416062,CUST_99375,305,,2,2,2,512.87,15.08,527.95
TXN_899021,CUST_53280,306,,6,3,16,1012.06,10.77,1022.8299999999999
TXN_899687,CUST_22333,307,,2,2,4,1104.3,21.16,1125.46
TXN_532742,CUST_96662,308,,4,1,4,104.35,24.13,128.48
TXN_957479,CUST_62975,309,,5,3,6,31.5,21.7,53.2
TXN_337537,CUST_82321,310,,4,3,3,612.1,13.58,625.6800000000001
TXN_769603,CUST_49926,311,,4,1,4,1180.02,19.73,1199.75
TXN_423360,CUST_40180,312,,3,4,14,710.89,8.25,719.14
TXN_313203,CUST_97867,313,,1,1,1,38.43,5.05,43.48
TXN_928014,CUST_75566,314,,5,4,18,130.15,11.54,141.69
TXN_518080,CUST_17248,315,,4,3,4,661.35,20.4,681.75
TXN_992381,CUST_94110,316,,2,1,4,132.89,20.92,153.81
TXN_460448,CUST_49639,317,,1,3,2,474.38,9.26,483.64
TXN_186780,CUST_31668,318,,3,2,2,462.57,8.61,471.18
TXN_760555,CUST_72349,319,,1,3,3,823.38,5.88,829.26
TXN_280804,CUST_68985,320,,3,2,3,351.37,13.44,364.81
TXN_921190,CUST_72560,321,,4,1,2,519.69,8.38,528.07
TXN_145575,CUST_37037,322,,2,1,2,556.64,16.81,573.4499999999999
TXN_159127,CUST_24798,323,,3,4,7,346.96,21.2,368.15999999999997
TXN_242781,CUST_61602,324,,1,2,4,1061.48,11.39,1072.8700000000001
TXN_144281,CUST_23802,325,,3,3,3,787.05,8.75,795.8
TXN_496770,CUST_98942,326,,3,2,1,75.89,13.03,88.92
TXN_925402,CUST_86651,327,,2,1,1,64.44,22.75,87.19
TXN_172951,CUST_82754,328,,2,3,2,331.15,17.62,348.77
TXN_826829,CUST_17414,329,,3,2,2,131.28,5.52,136.8
TXN_692953,CUST_62697,330,,2,1,2,557.55,15.08,572.63
TXN_108206,CUST_25187,331,,3,3,3,104.38,17.21,121.59
TXN_301619,CUST_88858,332,,1,3,3,883.42,14.24,897.66
TXN_703727,CUST_94896,333,,1,2,1,140.61,21.72,162.33
TXN_939337,CUST_92055,334,,2,3,2,594.16,18.22,612.38
TXN_582272,CUST_68109,335,,3,3,1,264.25,15.22,279.47
TXN_665445,CUST_25251,336,,3,3,1,75.13,6.18,81.31
TXN_888151,CUST_38535,337,,2,2,2,464.35,6.61,470.96000000000004
TXN_891773,CUST_77562,338,,1,2,3,177.33,6.57,183.9
TXN_969468,CUST_78556,339,,4,1,4,1083.67,19.29,1102.96
TXN_639391,CUST_62400,340,,6,3,2,23.13,11.26,34.39
TXN_663618,CUST_58920,341,,3,1,2,56.82,20.38,77.2
TXN_180750,CUST_10341,342,,3,3,3,459.42,12.6,472.02000000000004
TXN_673308,CUST_77778,343,,3,3,10,790.2,14.83,805.0300000000001
TXN_600438,CUST_39703,344,,2,1,4,810.18,5.32,815.5
TXN_161041,CUST_72196,345,,1,3,3,648.11,20.03,668.14
TXN_447405,CUST_47540,346,,1,1,3,267.07,24.78,291.85
TXN_142704,CUST_73988,347,,3,3,2,97.8,16.42,114.22
TXN_745857,CUST_34404,348,,3,1,4,450.34,15.2,465.53999999999996
TXN_953049,CUST_16672,349,,1,2,4,852.53,6.07,858.6
TXN_190646,CUST_30961,350,,3,1,1,245.12,11.16,256.28000000000003
TXN_136912,CUST_99452,351,,4,2,1,273.52,11.92,285.44
TXN_567000,CUST_34296,352,,3,3,16,148.11,19.04,167.15
TXN_481134,CUST_80766,353,,2,2,2,532.74,8.52,541.26
TXN_920504,CUST_69607,354,,3,1,4,417.65,23.0,440.65
TXN_662025,CUST_84481,355,,3,3,3,666.49,23.26,689.75
TXN_775967,CUST_28026,356,,1,2,1,269.72,19.93,289.65000000000003
TXN_375772,CUST_12564,357,,3,1,4,660.89,9.78,670.67
TXN_958985,CUST_28256,358,,5,3,3,43.57,12.87,56.44
TXN_442764,CUST_61925,359,,4,3,2,341.56,12.46,354.02
TXN_400203,CUST_85213,360,,2,3,3,650.67,14.55,665.2199999999999
TXN_455111,CUST_27116,361,,4,1,3,393.26,6.07,399.33
TXN_179101,CUST_62794,362,,6,3,16,1494.61,16.12,1510.7299999999998
TXN_829539,CUST_27485,363,,3,2,1,210.51,14.09,224.6
TXN_737672,CUST_18789,364,,3,4,16,743.09,20.29,763.38
TXN_331649,CUST_87167,365,,3,3,4,513.48,21.07,534.5500000000001
TXN_895864,CUST_25402,366,,4,1,4,975.59,17.5,993.09
TXN_257170,CUST_20477,367,,2,2,3,897.38,16.18,913.56
TXN_787277,CUST_51611,368,,3,1,4,276.5,9.04,285.54
TXN_135574,CUST_38636,369,,3,2,3,592.81,12.25,605.06
TXN_365522,CUST_41863,370,,2,3,8,210.65,21.73,232.38
TXN_657450,CUST_43239,371,,2,4,10,169.27,18.29,187.56
TXN_125039,CUST_68305,372,,2,1,4,747.95,17.41,765.36
TXN_195114,CUST_94393,373,,3,3,1,145.41,15.18,160.59
TXN_395527,CUST_48557,374,,3,3,1,107.14,16.63,123.77
TXN_162798,CUST_87859,375,,3,1,1,145.08,6.74,151.82000000000002
TXN_342068,CUST_88056,376,,3,3,4,783.18,22.16,805.3399999999999
TXN_247488,CUST_74496,377,,5,4,12,604.73,21.4,626.13
TXN_118325,CUST_86881,378,,2,3,18,1066.6,22.64,1089.24
TXN_915756,CUST_78779,379,,3,4,15,90.75,10.65,101.4
TXN_429943,CUST_69068,380,,4,3,2,280.44,13.13,293.57
TXN_800389,CUST_22582,381,,4,2,2,224.78,5.32,230.1
TXN_220744,CUST_29001,382,,3,2,3,842.1,24.8,866.9
TXN_715875,CUST_45547,383,,2,1,2,420.7,10.72,431.42
